Index,API명,제공기관,수정일자,키워드,상세URL,Category,Region
2575,XML JSON 식품의약품안전처_건강기능식품업소 인허가 변경 정보,식품의약품안전처,2025-08-07,"건강기능식품,업소,인허가,변경,대장,이력",https://www.data.go.kr/data/15145159/openapi.do,보건/식품,전국/기타
2576,XML 서울교통공사_지하철 출입구 임시폐쇄 공사현황,서울교통공사,2025-08-07,"서울교통공사,지하철,호선,역명,출입구,공사,폐쇄,임시폐쇄",https://www.data.go.kr/data/15120993/openapi.do,교통/물류,서울
2577,XML 서울특별시 서대문구_석유판매업 현황,서울특별시 서대문구,2025-08-07,"석유,판매,석유판매,주유소,석유판매업",https://www.data.go.kr/data/3072794/openapi.do,환경/에너지,서울
2578,XML 서울특별시 서대문구_공연장 정보,서울특별시 서대문구,2025-08-07,"공연,공연장,서대문구공연,연극,무용",https://www.data.go.kr/data/3072797/openapi.do,문화/관광,서울
2579,XML JSON 식품의약품안전처_해외직구식품 국내 반입차단 대상 원료성분 서비스,식품의약품안전처,2025-08-07,"해외직구,식품,원료성분,안전관리,수입제한,지정",https://www.data.go.kr/data/15132686/openapi.do,보건/식품,전국/기타
2580,XML JSON 서울특별시 서대문구_통신판매업 현황,서울특별시 서대문구,2025-08-07,"판매,통신판매,통신판매업,전자상거래,온라인 쇼핑몰",https://www.data.go.kr/data/3072787/openapi.do,산업/고용,서울
2581,XML JSON 식품의약품안전처_위생용품 수입제품,식품의약품안전처,2025-08-07,"수입,제품구분,위생용품,수입신고,해외제조업소",https://www.data.go.kr/data/15073913/openapi.do,보건/식품,전국/기타
2582,XML JSON 식품의약품안전처_위생용품 수입제조수출업체정보,식품의약품안전처,2025-08-07,"수출,수입,위생용품,제조수출업체,해외제조업소",https://www.data.go.kr/data/15073918/openapi.do,보건/식품,전국/기타
2583,XML JSON 서울특별시 서대문구_미용업 현황,서울특별시 서대문구,2025-08-07,"미용,헤어,미용실,미용업,펌",https://www.data.go.kr/data/15058302/openapi.do,기타,서울
2584,XML JSON 식품의약품안전처_위생용품 수입성분정보,식품의약품안전처,2025-08-07,"수입,위생용품,품목구분,성분정보,허가·신고",https://www.data.go.kr/data/15073916/openapi.do,보건/식품,전국/기타
2585,JSON 서울특별시 서대문구_이용업 현황,서울특별시 서대문구,2025-08-07,"이발,헤어,이발소,이발소 현황,컷트",https://www.data.go.kr/data/15058408/openapi.do,기타,서울
2586,XML JSON 식품의약품안전처_수입축산물 부위별 검사통계,식품의약품안전처,2025-08-07,"수입식품,축산물,축산물부위,수입검사,통계",https://www.data.go.kr/data/15106661/openapi.do,보건/식품,전국/기타
2587,JSON 서울특별시 서대문구_건강기능식품 유통판매업 현황,서울특별시 서대문구,2025-08-07,"식품,위생,건강,건강기능식품,건강식품",https://www.data.go.kr/data/15059305/openapi.do,보건/식품,서울
2588,XML JSON 서울특별시 서대문구_소독업소정보,서울특별시 서대문구,2025-08-07,"소독,소독업소,의약업소,소독업,방역",https://www.data.go.kr/data/3080456/openapi.do,보건/식품,서울
2589,XML JSON 서울특별시 서대문구_산후조리업소정보,서울특별시 서대문구,2025-08-07,"산후조리,산후,산후조리원,조리원,산욕기",https://www.data.go.kr/data/3080436/openapi.do,기타,서울
2590,XML JSON 부산광역시_부산맛집정보 서비스,부산광역시,2025-08-07,"부산관광,관광맛집,정보서비스,미식투어,부산음식",https://www.data.go.kr/data/15063472/openapi.do,문화/관광,부산
2591,XML JSON 서울특별시 서대문구_숙박업(일반),서울특별시 서대문구,2025-08-07,"숙박,업소,위생,호텔,호스텔",https://www.data.go.kr/data/3080479/openapi.do,문화/관광,서울
2592,XML JSON 서울특별시 서대문구_건강기능식품 일반판매업 현황,서울특별시 서대문구,2025-08-07,"건강식품,기능,판매,건강기능식품,건강식품 판매",https://www.data.go.kr/data/15057509/openapi.do,보건/식품,서울
2593,XML JSON 식품의약품안전처_수입식품 해외제조업소중단정보,식품의약품안전처,2025-08-07,"수입식품,해외제조업소,취소중단,사유,이력",https://www.data.go.kr/data/15073972/openapi.do,보건/식품,전국/기타
2594,XML JSON 식품의약품안전처_수입식품 해외제조업소 중단품목 정보,식품의약품안전처,2025-08-07,"수입식품,해외제조업소,품목,중단정보,안전관리",https://www.data.go.kr/data/15073977/openapi.do,보건/식품,전국/기타
2595,XML JSON 식품의약품안전처_수입식품 해외제조업소 정보,식품의약품안전처,2025-08-07,"수입식품,해외제조업소,인증기관,식품유통,식품안전",https://www.data.go.kr/data/15073967/openapi.do,보건/식품,전국/기타
2596,XML 서울특별시 서대문구_대부업 현황,서울특별시 서대문구,2025-08-07,"대부,대부업,서대문구대부,사금융,대부행위",https://www.data.go.kr/data/3072791/openapi.do,금융/경제,서울
2597,XML JSON 식품의약품안전처_수입식품 해외작업장 품목 및 중단정보,식품의약품안전처,2025-08-07,"수입식품,해외제조업소,수입식품업종,해외작업장,품목",https://www.data.go.kr/data/15073923/openapi.do,보건/식품,전국/기타
2598,XML JSON 서울특별시 서대문구_출판사 현황,서울특별시 서대문구,2025-08-07,"출판,출판사,인쇄소,서적,책",https://www.data.go.kr/data/3072798/openapi.do,기타,서울
2599,XML 서울특별시 서대문구_방문판매업 현황,서울특별시 서대문구,2025-08-07,"방문,판매업,방문판매업,방문판매,사업장",https://www.data.go.kr/data/3072790/openapi.do,기타,서울
2600,XML JSON 서울특별시 서대문구_약국정보,서울특별시 서대문구,2025-08-07,"약국,의약품,의약업소,약업소,약품",https://www.data.go.kr/data/3080463/openapi.do,보건/식품,서울
2601,XML JSON 부산광역시_부산해양체험정보 서비스,부산광역시,2025-08-07,"부산관광,관광해양체험,정보서비스,체험여행,바다여행",https://www.data.go.kr/data/15063564/openapi.do,문화/관광,부산
2602,XML JSON 식품의약품안전처_수입식품 품목별 규격정보,식품의약품안전처,2025-08-07,"수입식품,안전관리,규격정보,품목,수입신고",https://www.data.go.kr/data/15111776/openapi.do,보건/식품,전국/기타
2603,XML JSON 식품의약품안전처_수입식품 제품별 한글표시사항,식품의약품안전처,2025-08-07,"수입식품,안전관리,한글표시사항,제품명,수입업체",https://www.data.go.kr/data/15110214/openapi.do,보건/식품,전국/기타
2604,XML JSON 부산광역시_부산테마여행정보 서비스,부산광역시,2025-08-07,"부산관광,관광테마여행,정보서비스,테마여행,이색여행",https://www.data.go.kr/data/15063506/openapi.do,문화/관광,부산
2605,XML JSON 식품의약품안전처_수입식품 제품DB 정보,식품의약품안전처,2025-08-07,"수입식품,제품정보,수입신고,제조국,육류",https://www.data.go.kr/data/15073949/openapi.do,보건/식품,전국/기타
2606,XML JSON 식품의약품안전처_수입식품 월별 품목 수입량,식품의약품안전처,2025-08-07,"수입식품,월별,제품,수입신고,수입량,통계",https://www.data.go.kr/data/15139324/openapi.do,보건/식품,전국/기타
2607,XML JSON 식품의약품안전처_수입식품 원료정보,식품의약품안전처,2025-08-07,"수입식품,안전관리,식품원료,명칭,수입식품정보",https://www.data.go.kr/data/15111777/openapi.do,보건/식품,전국/기타
2608,XML JSON 식품의약품안전처_수입식품 수입신고별 한글표시사항,식품의약품안전처,2025-08-07,"수입식품,한글표시사항,수출국,안전관리,유통기한",https://www.data.go.kr/data/15110213/openapi.do,보건/식품,전국/기타
2609,XML JSON 식품의약품안전처_수입식품 수입신고 접수품목,식품의약품안전처,2025-08-07,"수입식품,수입신고,접수,품목,허가·신고",https://www.data.go.kr/data/15073922/openapi.do,보건/식품,전국/기타
